AGE,EDUCATION,SEX,DISABILITY,INSURANCE,CHILD,RACE,INCOME
86,"One or more year college, no diploma",Male,With disability,Health insurance coverage,No child,White alone,22200
49,Master's degree,Female,Without diability,Health insurance coverage,No child,White alone,50000
55,"College, less than 1 year",Male,With disability,Health insurance coverage,No child,White alone,0
34,Regular high school diploma,Female,Without diability,Health insurance coverage,No child,White alone,4000
33,"Grade 12, no diploma no diploma",Male,Without diability,Health insurance coverage,No child,White alone,49000
44,Regular high school diploma,Male,Without diability,Health insurance coverage,No child,White alone,40000
49,Regular high school diploma,Female,Without diability,Health insurance coverage,No child,White alone,57000
19,"One or more year college, no diploma",Female,Without diability,No health insurance coverage,No child,White alone,0
19,"One or more year college, no diploma",Male,Without diability,Health insurance coverage,No child,Two or more races,10000
38,"One or more year college, no diploma",Male,Without diability,Health insurance coverage,No child,White alone,55000
29,Associate's degree,Female,Without diability,Health insurance coverage,No child,White alone,53000
56,"One or more year college, no diploma",Male,With disability,Health insurance coverage,No child,White alone,93000
60,Bachelor's degree,Female,Without diability,Health insurance coverage,No child,White alone,6900
31,GED or alternative,Male,Without diability,Health insurance coverage,No child,White alone,45000
31,GED or alternative,Female,Without diability,Health insurance coverage,No child,White alone,16000
60,"College, less than 1 year",Female,With disability,Health insurance coverage,No child,White alone,15000
63,"College, less than 1 year",Male,Without diability,Health insurance coverage,No child,White alone,55000
55,Grade 9,Male,Without diability,Health insurance coverage,No child,White alone,30000
77,"College, less than 1 year",Female,With disability,Health insurance coverage,No child,White alone,9750
80,Grade 10,Male,With disability,Health insurance coverage,No child,White alone,14900
81,GED or alternative,Male,With disability,Health insurance coverage,No child,White alone,23700
43,GED or alternative,Female,With disability,No health insurance coverage,No child,American Indian alone,1600
20,Regular high school diploma,Female,With disability,Health insurance coverage,No child,American Indian alone,10400
27,Grade 8,Male,Without diability,No health insurance coverage,No child,American Indian alone,600
74,"College, less than 1 year",Female,With disability,Health insurance coverage,No child,White alone,39400
75,Associate's degree,Male,With disability,Health insurance coverage,No child,White alone,41000
57,"One or more year college, no diploma",Female,Without diability,Health insurance coverage,No child,White alone,87000
44,1,Male,Without diability,Health insurance coverage,No child,White alone,8800
35,Grade 11,Male,Without diability,Health insurance coverage,No child,White alone,100000
35,Regular high school diploma,Female,Without diability,Health insurance coverage,No child,White alone,60000
37,Bachelor's degree,Female,Without diability,Health insurance coverage,No child,White alone,43000
35,Regular high school diploma,Male,Without diability,No health insurance coverage,No child,White alone,56000
66,"College, less than 1 year",Male,With disability,Health insurance coverage,No child,White alone,3630
66,"One or more year college, no diploma",Female,Without diability,Health insurance coverage,No child,White alone,0
73,GED or alternative,Male,With disability,Health insurance coverage,No child,Two or more races,12510
41,"College, less than 1 year",Male,With disability,No health insurance coverage,No child,Two or more races,70
27,"One or more year college, no diploma",Male,Without diability,Health insurance coverage,No child,White alone,36000
26,Associate's degree,Female,Without diability,Health insurance coverage,No child,White alone,44100
86,Bachelor's degree,Male,Without diability,Health insurance coverage,No child,White alone,37200
73,Associate's degree,Male,Without diability,Health insurance coverage,No child,White alone,230000
61,Associate's degree,Male,Without diability,Health insurance coverage,No child,White alone,109000
16,Grade 10,Male,Without diability,Health insurance coverage,Have child,White alone,0
49,"College, less than 1 year",Female,Without diability,Health insurance coverage,No child,White alone,36000
36,Professional degree beyond college,Female,Without diability,Health insurance coverage,No child,White alone,56000
35,Regular high school diploma,Male,Without diability,Health insurance coverage,No child,White alone,10000
62,Regular high school diploma,Male,Without diability,Health insurance coverage,No child,White alone,45000
74,"One or more year college, no diploma",Male,Without diability,Health insurance coverage,No child,White alone,57000
73,Master's degree,Female,Without diability,Health insurance coverage,No child,White alone,5000
26,"College, less than 1 year",Male,Without diability,No health insurance coverage,No child,American Indian alone,23700
21,"One or more year college, no diploma",Female,Without diability,No health insurance coverage,No child,American Indian alone,28900
47,"One or more year college, no diploma",Female,Without diability,Health insurance coverage,No child,White alone,56000
93,Grade 11,Female,With disability,Health insurance coverage,No child,White alone,2180
36,Master's degree,Female,Without diability,Health insurance coverage,No child,White alone,41510
73,"One or more year college, no diploma",Male,With disability,Health insurance coverage,No child,White alone,32400
60,GED or alternative,Female,With disability,Health insurance coverage,No child,White alone,400
56,GED or alternative,Female,Without diability,Health insurance coverage,No child,Black or African American alone,36500
84,GED or alternative,Female,With disability,Health insurance coverage,No child,Black or African American alone,26800
31,Associate's degree,Male,Without diability,No health insurance coverage,No child,White alone,16050
27,Regular high school diploma,Female,Without diability,Health insurance coverage,No child,White alone,35800
53,Associate's degree,Female,Without diability,Health insurance coverage,No child,White alone,64200
59,"One or more year college, no diploma",Male,Without diability,Health insurance coverage,No child,White alone,63000
19,"One or more year college, no diploma",Male,Without diability,Health insurance coverage,No child,White alone,7000
19,"One or more year college, no diploma",Male,Without diability,Health insurance coverage,No child,White alone,13700
84,Regular high school diploma,Male,With disability,Health insurance coverage,No child,White alone,18000
67,Associate's degree,Female,Without diability,Health insurance coverage,No child,White alone,84000
17,Grade 10,Female,Without diability,Health insurance coverage,No child,White alone,1000
67,Regular high school diploma,Female,Without diability,Health insurance coverage,No child,White alone,58000
72,Regular high school diploma,Male,With disability,Health insurance coverage,No child,White alone,75200
28,Master's degree,Female,Without diability,Health insurance coverage,No child,White alone,37400
29,Regular high school diploma,Male,Without diability,Health insurance coverage,No child,White alone,28000
41,Professional degree beyond college,Male,Without diability,No health insurance coverage,No child,White alone,222200
34,Associate's degree,Female,Without diability,Health insurance coverage,No child,White alone,0
55,"College, less than 1 year",Male,With disability,Health insurance coverage,No child,White alone,0
48,Associate's degree,Female,Without diability,Health insurance coverage,No child,White alone,53000
34,"College, less than 1 year",Male,With disability,No health insurance coverage,No child,American Indian alone,2100
32,GED or alternative,Male,With disability,No health insurance coverage,No child,American Indian alone,1500
59,"College, less than 1 year",Male,Without diability,Health insurance coverage,No child,White alone,17500
40,"One or more year college, no diploma",Female,With disability,Health insurance coverage,No child,White alone,5840
41,GED or alternative,Male,Without diability,Health insurance coverage,No child,White alone,18000
51,"One or more year college, no diploma",Female,Without diability,Health insurance coverage,No child,White alone,35000
57,"College, less than 1 year",Male,Without diability,Health insurance coverage,No child,White alone,78000
46,"One or more year college, no diploma",Male,Without diability,Health insurance coverage,No child,White alone,35000
88,Regular high school diploma,Female,Without diability,Health insurance coverage,No child,White alone,9700
23,8,Female,Without diability,Health insurance coverage,No child,White alone,28500
70,Associate's degree,Female,Without diability,Health insurance coverage,No child,White alone,69790
54,"One or more year college, no diploma",Male,Without diability,Health insurance coverage,No child,White alone,55000
35,Master's degree,Female,Without diability,Health insurance coverage,No child,White alone,44000
34,Regular high school diploma,Male,Without diability,Health insurance coverage,No child,White alone,51000
51,Regular high school diploma,Female,Without diability,Health insurance coverage,No child,White alone,78000
64,"One or more year college, no diploma",Male,With disability,Health insurance coverage,No child,White alone,37900
64,"One or more year college, no diploma",Female,With disability,Health insurance coverage,No child,Asian alone,16300
38,Bachelor's degree,Female,Without diability,Health insurance coverage,No child,White alone,60000
41,Regular high school diploma,Female,With disability,Health insurance coverage,No child,White alone,20000
68,Grade 11,Female,Without diability,Health insurance coverage,No child,Some other race alone,0
67,Associate's degree,Male,Without diability,Health insurance coverage,No child,Some other race alone,35000
36,"One or more year college, no diploma",Male,With disability,Health insurance coverage,No child,White alone,99220
18,1,Male,With disability,Health insurance coverage,No child,White alone,0
28,Associate's degree,Female,Without diability,Health insurance coverage,No child,White alone,9800
68,Grade 8,Female,With disability,Health insurance coverage,No child,White alone,33200
71,Bachelor's degree,Male,Without diability,Health insurance coverage,No child,White alone,81900
62,Bachelor's degree,Female,Without diability,Health insurance coverage,No child,White alone,86300
90,"College, less than 1 year",Female,With disability,Health insurance coverage,No child,White alone,36000
22,"One or more year college, no diploma",Female,Without diability,Health insurance coverage,No child,White alone,5000
25,Regular high school diploma,Male,Without diability,Health insurance coverage,No child,White alone,20000
50,Professional degree beyond college,Male,Without diability,Health insurance coverage,No child,White alone,213000
51,Bachelor's degree,Female,Without diability,Health insurance coverage,No child,White alone,0
16,Grade 10,Male,Without diability,Health insurance coverage,Have child,White alone,1000
28,"One or more year college, no diploma",Female,Without diability,Health insurance coverage,No child,White alone,28000
28,Grade 10,Male,Without diability,Health insurance coverage,No child,White alone,19200
68,Professional degree beyond college,Female,Without diability,Health insurance coverage,No child,White alone,30100
79,Bachelor's degree,Male,With disability,Health insurance coverage,No child,White alone,62500
33,Bachelor's degree,Male,Without diability,Health insurance coverage,No child,White alone,242000
36,Master's degree,Female,Without diability,Health insurance coverage,No child,White alone,57000
34,Bachelor's degree,Female,Without diability,Health insurance coverage,No child,White alone,17500
36,Regular high school diploma,Male,Without diability,Health insurance coverage,No child,White alone,95300
81,"College, less than 1 year",Female,With disability,Health insurance coverage,No child,White alone,43000
56,Associate's degree,Male,Without diability,No health insurance coverage,No child,White alone,0
67,"Grade 12, no diploma no diploma",Female,With disability,Health insurance coverage,No child,White alone,52600
65,"Grade 12, no diploma no diploma",Female,With disability,Health insurance coverage,No child,White alone,640
61,GED or alternative,Male,Without diability,Health insurance coverage,No child,White alone,1600
57,Regular high school diploma,Female,Without diability,Health insurance coverage,No child,White alone,38000
60,Regular high school diploma,Male,With disability,Health insurance coverage,No child,White alone,84600
78,Professional degree beyond college,Male,Without diability,Health insurance coverage,No child,White alone,24600
77,Regular high school diploma,Female,Without diability,Health insurance coverage,No child,White alone,13000
37,Bachelor's degree,Female,Without diability,Health insurance coverage,No child,White alone,90000
37,Master's degree,Male,Without diability,Health insurance coverage,No child,White alone,72000
26,Regular high school diploma,Male,Without diability,Health insurance coverage,No child,American Indian alone,25740
23,Grade 11,Female,Without diability,Health insurance coverage,No child,American Indian alone,540
80,"One or more year college, no diploma",Male,Without diability,Health insurance coverage,No child,White alone,24600
74,"One or more year college, no diploma",Female,Without diability,Health insurance coverage,No child,White alone,7700
93,Regular high school diploma,Female,With disability,Health insurance coverage,No child,White alone,14500
76,Bachelor's degree,Female,Without diability,Health insurance coverage,No child,White alone,24000
81,Bachelor's degree,Male,Without diability,Health insurance coverage,No child,White alone,0
72,"One or more year college, no diploma",Female,Without diability,Health insurance coverage,No child,White alone,32200
61,Regular high school diploma,Male,With disability,Health insurance coverage,No child,White alone,25000
57,Regular high school diploma,Female,Without diability,Health insurance coverage,No child,White alone,40000
35,"One or more year college, no diploma",Female,Without diability,Health insurance coverage,No child,White alone,18000
36,Associate's degree,Male,Without diability,Health insurance coverage,No child,Two or more races,71000
22,"One or more year college, no diploma",Male,Without diability,Health insurance coverage,No child,White alone,12500
23,Associate's degree,Female,Without diability,Health insurance coverage,No child,White alone,1300
78,Regular high school diploma,Female,Without diability,Health insurance coverage,No child,White alone,22200
28,"One or more year college, no diploma",Male,With disability,Health insurance coverage,No child,White alone,6000
28,"College, less than 1 year",Female,Without diability,Health insurance coverage,No child,White alone,600
26,"College, less than 1 year",Male,Without diability,Health insurance coverage,No child,White alone,30000
76,Master's degree,Female,Without diability,Health insurance coverage,No child,White alone,17300
79,Grade 8,Male,With disability,Health insurance coverage,No child,White alone,22000
43,Master's degree,Female,Without diability,Health insurance coverage,No child,White alone,57000
46,Bachelor's degree,Male,Without diability,Health insurance coverage,No child,White alone,90000
16,Grade 10,Female,Without diability,Health insurance coverage,Have child,White alone,0
34,Bachelor's degree,Male,Without diability,Health insurance coverage,No child,White alone,166000
33,Bachelor's degree,Female,Without diability,Health insurance coverage,No child,White alone,40000
49,Professional degree beyond college,Female,Without diability,Health insurance coverage,No child,White alone,131500
46,Bachelor's degree,Male,Without diability,Health insurance coverage,No child,White alone,100000
37,Regular high school diploma,Female,Without diability,Health insurance coverage,No child,White alone,33500
33,"One or more year college, no diploma",Male,Without diability,Health insurance coverage,No child,White alone,40000
56,Regular high school diploma,Male,Without diability,Health insurance coverage,No child,White alone,50000
58,"One or more year college, no diploma",Male,With disability,Health insurance coverage,No child,White alone,3600
57,"One or more year college, no diploma",Female,Without diability,Health insurance coverage,No child,White alone,56000
25,Bachelor's degree,Male,Without diability,Health insurance coverage,No child,Black or African American alone,100000
25,Bachelor's degree,Female,Without diability,Health insurance coverage,No child,White alone,10000
70,Bachelor's degree,Female,Without diability,Health insurance coverage,No child,White alone,19960
84,GED or alternative,Male,With disability,Health insurance coverage,No child,White alone,10010
61,Regular high school diploma,Male,With disability,No health insurance coverage,No child,White alone,13000
59,Master's degree,Female,Without diability,Health insurance coverage,No child,White alone,37000
53,Bachelor's degree,Male,With disability,Health insurance coverage,No child,White alone,0
75,Bachelor's degree,Female,Without diability,Health insurance coverage,No child,White alone,34000
52,Regular high school diploma,Female,With disability,No health insurance coverage,No child,White alone,0
31,Regular high school diploma,Male,With disability,Health insurance coverage,No child,White alone,10000
15,Grade 9,Female,Without diability,Health insurance coverage,No child,White alone,13200
51,Grade 9,Male,With disability,Health insurance coverage,No child,White alone,49800
86,Associate's degree,Female,Without diability,Health insurance coverage,No child,White alone,14200
55,Bachelor's degree,Female,Without diability,Health insurance coverage,No child,White alone,68000
55,Bachelor's degree,Male,Without diability,Health insurance coverage,No child,White alone,96000
61,Bachelor's degree,Male,Without diability,Health insurance coverage,No child,American Indian alone,114100
59,Bachelor's degree,Female,Without diability,Health insurance coverage,No child,White alone,45000
68,Bachelor's degree,Male,With disability,Health insurance coverage,No child,White alone,94290
60,Associate's degree,Male,With disability,No health insurance coverage,No child,White alone,34800
60,Associate's degree,Female,Without diability,No health insurance coverage,No child,White alone,10900
48,GED or alternative,Female,With disability,Health insurance coverage,No child,White alone,35000
15,Grade 8,Female,Without diability,Health insurance coverage,Have child,White alone,0
31,Bachelor's degree,Female,Without diability,Health insurance coverage,No child,White alone,45000
31,Master's degree,Male,Without diability,Health insurance coverage,No child,White alone,0
93,"College, less than 1 year",Female,With disability,Health insurance coverage,No child,White alone,23600
70,6,Male,With disability,Health insurance coverage,No child,White alone,10900
69,"College, less than 1 year",Female,With disability,Health insurance coverage,No child,White alone,39800
60,"College, less than 1 year",Female,Without diability,Health insurance coverage,No child,White alone,29000
62,"One or more year college, no diploma",Male,Without diability,Health insurance coverage,No child,White alone,39000
42,"One or more year college, no diploma",Male,Without diability,No health insurance coverage,No child,White alone,34000
56,Regular high school diploma,Male,Without diability,Health insurance coverage,No child,White alone,95400
50,GED or alternative,Female,Without diability,Health insurance coverage,No child,White alone,0
79,Regular high school diploma,Female,With disability,Health insurance coverage,No child,White alone,73900
47,"One or more year college, no diploma",Female,Without diability,Health insurance coverage,No child,American Indian alone,45800
15,Grade 7,Male,With disability,Health insurance coverage,Have child,American Indian alone,0
40,Regular high school diploma,Female,With disability,Health insurance coverage,No child,White alone,0
43,Associate's degree,Female,Without diability,Health insurance coverage,No child,White alone,53000
41,Regular high school diploma,Male,Without diability,Health insurance coverage,No child,White alone,60000
47,Associate's degree,Male,Without diability,Health insurance coverage,No child,White alone,138000
47,"One or more year college, no diploma",Female,With disability,Health insurance coverage,No child,White alone,10600
78,Associate's degree,Male,Without diability,Health insurance coverage,No child,White alone,1400
63,Regular high school diploma,Male,Without diability,Health insurance coverage,No child,White alone,-8100
60,Regular high school diploma,Female,Without diability,Health insurance coverage,No child,White alone,-8100
49,GED or alternative,Male,Without diability,Health insurance coverage,No child,White alone,30000
72,"One or more year college, no diploma",Male,Without diability,Health insurance coverage,No child,White alone,91500
47,"College, less than 1 year",Male,Without diability,Health insurance coverage,No child,White alone,35000
52,Bachelor's degree,Male,Without diability,Health insurance coverage,No child,White alone,44000
66,"One or more year college, no diploma",Male,Without diability,Health insurance coverage,No child,White alone,82700
62,Regular high school diploma,Female,Without diability,No health insurance coverage,No child,White alone,37200
67,Bachelor's degree,Male,With disability,Health insurance coverage,No child,White alone,76600
61,Regular high school diploma,Female,Without diability,Health insurance coverage,No child,White alone,9600
26,Bachelor's degree,Female,Without diability,Health insurance coverage,No child,White alone,51000
28,Bachelor's degree,Male,Without diability,Health insurance coverage,No child,White alone,6000
45,Associate's degree,Male,Without diability,Health insurance coverage,No child,White alone,120000
45,Bachelor's degree,Female,Without diability,Health insurance coverage,No child,White alone,0
17,Grade 11,Male,Without diability,Health insurance coverage,Have child,White alone,1000
56,Regular high school diploma,Male,Without diability,Health insurance coverage,No child,White alone,70000
60,Professional degree beyond college,Male,Without diability,Health insurance coverage,No child,White alone,230
55,Regular high school diploma,Male,Without diability,No health insurance coverage,No child,White alone,12000
38,Regular high school diploma,Male,Without diability,Health insurance coverage,No child,White alone,15000
19,Regular high school diploma,Male,Without diability,Health insurance coverage,No child,White alone,27000
31,Bachelor's degree,Female,Without diability,Health insurance coverage,No child,White alone,22000
35,Bachelor's degree,Male,Without diability,Health insurance coverage,No child,White alone,78000
54,Master's degree,Male,Without diability,Health insurance coverage,No child,White alone,68000
53,Master's degree,Female,Without diability,Health insurance coverage,No child,White alone,63000
61,"One or more year college, no diploma",Male,Without diability,Health insurance coverage,No child,White alone,19600
58,Master's degree,Female,Without diability,Health insurance coverage,No child,White alone,56000
21,"One or more year college, no diploma",Female,Without diability,No health insurance coverage,No child,White alone,4000
24,Regular high school diploma,Male,Without diability,Health insurance coverage,No child,White alone,10800
79,Grade 7,Female,With disability,Health insurance coverage,No child,Some other race alone,7200
72,Regular high school diploma,Male,Without diability,Health insurance coverage,No child,White alone,23000
69,Regular high school diploma,Female,Without diability,Health insurance coverage,No child,White alone,10000
57,Bachelor's degree,Male,Without diability,Health insurance coverage,No child,White alone,28000
48,Regular high school diploma,Female,Without diability,Health insurance coverage,No child,White alone,48000
31,Master's degree,Female,Without diability,Health insurance coverage,No child,White alone,61000
38,Regular high school diploma,Male,With disability,Health insurance coverage,No child,White alone,60000
41,GED or alternative,Female,Without diability,No health insurance coverage,No child,White alone,30000
45,"One or more year college, no diploma",Male,Without diability,No health insurance coverage,No child,White alone,45000
48,Bachelor's degree,Female,With disability,Health insurance coverage,No child,White alone,70000
16,Grade 10,Male,Without diability,Health insurance coverage,Have child,White alone,0
66,Associate's degree,Male,With disability,Health insurance coverage,No child,White alone,158300
70,Grade 8,Female,Without diability,Health insurance coverage,No child,White alone,3200
39,Regular high school diploma,Male,Without diability,Health insurance coverage,No child,White alone,28020
28,Associate's degree,Male,Without diability,Health insurance coverage,No child,White alone,46000
25,"One or more year college, no diploma",Female,Without diability,Health insurance coverage,No child,White alone,0
62,Grade 11,Female,Without diability,Health insurance coverage,No child,White alone,88300
68,Regular high school diploma,Male,With disability,Health insurance coverage,No child,White alone,54400
42,"One or more year college, no diploma",Female,Without diability,Health insurance coverage,No child,White alone,0
43,"One or more year college, no diploma",Male,Without diability,Health insurance coverage,No child,White alone,120000
21,Grade 11,Female,Without diability,Health insurance coverage,No child,White alone,0
15,Grade 9,Male,Without diability,Health insurance coverage,Have child,White alone,20900
42,Regular high school diploma,Female,Without diability,Health insurance coverage,No child,White alone,9200
48,Regular high school diploma,Male,Without diability,Health insurance coverage,No child,White alone,26200
72,Associate's degree,Female,Without diability,Health insurance coverage,No child,White alone,24100
61,"One or more year college, no diploma",Male,Without diability,Health insurance coverage,No child,White alone,47900
57,"College, less than 1 year",Female,Without diability,Health insurance coverage,No child,White alone,53000
62,Grade 11,Female,Without diability,Health insurance coverage,No child,White alone,70000
58,Regular high school diploma,Male,Without diability,Health insurance coverage,No child,White alone,85000
62,"One or more year college, no diploma",Male,Without diability,Health insurance coverage,No child,White alone,18000
35,Grade 8,Female,Without diability,No health insurance coverage,No child,White alone,0
38,Regular high school diploma,Female,Without diability,Health insurance coverage,No child,White alone,15000
35,"Grade 12, no diploma no diploma",Male,Without diability,Health insurance coverage,No child,White alone,15000
58,Regular high school diploma,Female,Without diability,Health insurance coverage,No child,White alone,30000
54,Professional degree beyond college,Female,Without diability,No health insurance coverage,No child,White alone,0
55,Professional degree beyond college,Male,Without diability,No health insurance coverage,No child,White alone,125000
25,Bachelor's degree,Male,Without diability,No health insurance coverage,No child,White alone,6000
53,Regular high school diploma,Female,Without diability,Health insurance coverage,No child,White alone,57000
60,Regular high school diploma,Male,Without diability,Health insurance coverage,No child,White alone,90000
62,Associate's degree,Female,Without diability,No health insurance coverage,No child,American Indian and Alaska native,15600
66,Regular high school diploma,Male,Without diability,Health insurance coverage,No child,White alone,100500
55,GED or alternative,Female,Without diability,Health insurance coverage,No child,White alone,63000
53,"Grade 12, no diploma no diploma",Male,Without diability,Health insurance coverage,No child,White alone,19800
59,"One or more year college, no diploma",Female,Without diability,Health insurance coverage,No child,White alone,0
56,GED or alternative,Male,Without diability,Health insurance coverage,No child,White alone,150000
66,Regular high school diploma,Male,Without diability,Health insurance coverage,No child,White alone,33000
25,"One or more year college, no diploma",Female,Without diability,Health insurance coverage,No child,White alone,6000
27,"College, less than 1 year",Male,Without diability,Health insurance coverage,No child,White alone,8000
68,GED or alternative,Female,Without diability,Health insurance coverage,No child,White alone,48400
68,Regular high school diploma,Male,With disability,Health insurance coverage,No child,White alone,19000
64,"One or more year college, no diploma",Female,Without diability,Health insurance coverage,No child,Two or more races,69400
56,Regular high school diploma,Male,Without diability,Health insurance coverage,No child,White alone,26500
56,Bachelor's degree,Female,Without diability,Health insurance coverage,No child,White alone,48420
26,GED or alternative,Female,Without diability,Health insurance coverage,No child,White alone,0
35,Regular high school diploma,Male,Without diability,Health insurance coverage,No child,White alone,27000
58,Regular high school diploma,Female,Without diability,Health insurance coverage,No child,White alone,26000
61,Regular high school diploma,Male,Without diability,Health insurance coverage,No child,White alone,46000
41,GED or alternative,Female,With disability,Health insurance coverage,No child,White alone,37000
18,Grade 11,Male,Without diability,Health insurance coverage,No child,White alone,2000
64,"One or more year college, no diploma",Female,Without diability,Health insurance coverage,No child,White alone,33600
15,Grade 8,Male,With disability,Health insurance coverage,No child,White alone,0
62,Regular high school diploma,Male,Without diability,Health insurance coverage,No child,Some other race alone,47700
59,"One or more year college, no diploma",Female,Without diability,Health insurance coverage,No child,White alone,0
66,Regular high school diploma,Male,With disability,Health insurance coverage,No child,White alone,53000
62,Regular high school diploma,Female,With disability,Health insurance coverage,No child,White alone,0
40,GED or alternative,Male,Without diability,Health insurance coverage,No child,White alone,50000
37,"One or more year college, no diploma",Female,Without diability,Health insurance coverage,No child,White alone,5000
15,Grade 9,Female,Without diability,Health insurance coverage,Have child,White alone,0
42,"One or more year college, no diploma",Male,Without diability,Health insurance coverage,No child,White alone,39600
44,"One or more year college, no diploma",Female,Without diability,Health insurance coverage,No child,White alone,57500
51,Bachelor's degree,Male,Without diability,Health insurance coverage,No child,Some other race alone,27000
45,Bachelor's degree,Female,Without diability,Health insurance coverage,No child,White alone,46000
66,Bachelor's degree,Male,Without diability,Health insurance coverage,No child,White alone,15000
61,Associate's degree,Female,Without diability,Health insurance coverage,No child,White alone,34000
72,Grade 8,Male,With disability,Health insurance coverage,No child,White alone,19900
63,Master's degree,Male,Without diability,Health insurance coverage,No child,White alone,15000
64,"One or more year college, no diploma",Female,Without diability,Health insurance coverage,No child,White alone,9000
64,Master's degree,Female,With disability,Health insurance coverage,No child,White alone,57500
68,"College, less than 1 year",Female,Without diability,Health insurance coverage,No child,White alone,15000
51,GED or alternative,Female,Without diability,Health insurance coverage,No child,White alone,40000
54,Associate's degree,Male,Without diability,Health insurance coverage,No child,White alone,52000
59,"College, less than 1 year",Female,Without diability,Health insurance coverage,No child,White alone,19800
63,Regular high school diploma,Female,Without diability,Health insurance coverage,No child,White alone,17000
64,Regular high school diploma,Male,Without diability,Health insurance coverage,No child,White alone,69700
44,Bachelor's degree,Male,Without diability,Health insurance coverage,No child,White alone,50000
43,Regular high school diploma,Female,With disability,Health insurance coverage,No child,White alone,9100
29,Associate's degree,Male,Without diability,Health insurance coverage,No child,White alone,68000
26,Bachelor's degree,Female,Without diability,Health insurance coverage,No child,White alone,24000
71,Associate's degree,Female,Without diability,Health insurance coverage,No child,White alone,19100
37,Master's degree,Female,Without diability,Health insurance coverage,No child,White alone,9000
43,"College, less than 1 year",Male,Without diability,No health insurance coverage,No child,White alone,1500
35,Regular high school diploma,Female,Without diability,Health insurance coverage,No child,White alone,0
40,Regular high school diploma,Male,Without diability,Health insurance coverage,No child,White alone,51000
61,Associate's degree,Male,Without diability,Health insurance coverage,No child,White alone,55000
58,Associate's degree,Female,Without diability,Health insurance coverage,No child,White alone,24000
17,Grade 10,Male,Without diability,Health insurance coverage,Have child,White alone,0
57,Bachelor's degree,Male,With disability,Health insurance coverage,No child,White alone,25000
58,Associate's degree,Female,Without diability,Health insurance coverage,No child,White alone,80000
41,Regular high school diploma,Female,Without diability,Health insurance coverage,No child,White alone,18000
45,Regular high school diploma,Male,Without diability,Health insurance coverage,No child,White alone,72000
18,"College, less than 1 year",Female,Without diability,Health insurance coverage,No child,White alone,2700
16,Grade 9,Male,Without diability,Health insurance coverage,Have child,White alone,0
49,"One or more year college, no diploma",Male,Without diability,Health insurance coverage,No child,White alone,50000
33,"One or more year college, no diploma",Male,Without diability,Health insurance coverage,No child,White alone,45600
54,Associate's degree,Female,Without diability,Health insurance coverage,No child,White alone,0
56,Master's degree,Male,Without diability,Health insurance coverage,No child,White alone,0
66,"Grade 12, no diploma no diploma",Male,Without diability,Health insurance coverage,No child,White alone,121000
65,Bachelor's degree,Female,Without diability,Health insurance coverage,No child,White alone,35000
32,"College, less than 1 year",Male,Without diability,Health insurance coverage,No child,White alone,53000
30,Regular high school diploma,Male,Without diability,Health insurance coverage,No child,White alone,20900
29,"One or more year college, no diploma",Female,Without diability,Health insurance coverage,No child,White alone,18000
46,Bachelor's degree,Male,Without diability,Health insurance coverage,No child,White alone,231000
43,Bachelor's degree,Female,Without diability,Health insurance coverage,No child,White alone,91000
51,Master's degree,Female,Without diability,Health insurance coverage,No child,White alone,101750
19,Grade 11,Male,With disability,Health insurance coverage,No child,Asian alone,5600
17,Grade 11,Female,Without diability,Health insurance coverage,Have child,Asian alone,2970
56,Master's degree,Female,Without diability,Health insurance coverage,No child,White alone,62000
68,Associate's degree,Male,Without diability,Health insurance coverage,No child,White alone,42200
58,Regular high school diploma,Male,With disability,No health insurance coverage,No child,White alone,37500
72,"One or more year college, no diploma",Male,Without diability,Health insurance coverage,No child,White alone,61800
34,GED or alternative,Male,Without diability,Health insurance coverage,No child,White alone,49100
35,GED or alternative,Female,Without diability,Health insurance coverage,No child,White alone,25000
16,Grade 10,Female,Without diability,Health insurance coverage,Have child,White alone,0
15,Grade 9,Female,Without diability,Health insurance coverage,Have child,White alone,0
55,Regular high school diploma,Female,Without diability,Health insurance coverage,No child,White alone,100000
70,Doctorate degree,Male,Without diability,Health insurance coverage,No child,White alone,46500
70,Doctorate degree,Female,Without diability,Health insurance coverage,No child,White alone,22450
49,Associate's degree,Male,Without diability,Health insurance coverage,No child,White alone,59000
53,Regular high school diploma,Male,Without diability,Health insurance coverage,No child,White alone,50000
48,"One or more year college, no diploma",Female,Without diability,Health insurance coverage,No child,White alone,19000
47,Regular high school diploma,Female,Without diability,No health insurance coverage,No child,White alone,27000
44,Regular high school diploma,Male,Without diability,No health insurance coverage,No child,White alone,32000
21,Regular high school diploma,Male,Without diability,No health insurance coverage,No child,White alone,28000
60,Regular high school diploma,Male,Without diability,No health insurance coverage,No child,White alone,25510
39,Master's degree,Male,Without diability,Health insurance coverage,No child,White alone,15700
29,Bachelor's degree,Female,Without diability,Health insurance coverage,No child,Asian alone,24000
55,Bachelor's degree,Male,Without diability,Health insurance coverage,No child,White alone,102200
49,Bachelor's degree,Female,Without diability,Health insurance coverage,No child,White alone,0
17,Grade 11,Female,Without diability,Health insurance coverage,Have child,White alone,0
68,"One or more year college, no diploma",Female,Without diability,Health insurance coverage,No child,White alone,25000
64,"One or more year college, no diploma",Male,Without diability,Health insurance coverage,No child,White alone,96000
62,Associate's degree,Female,Without diability,Health insurance coverage,No child,White alone,20100
